CLUTCH_NUMBER,DATA_EGGS_FOUND,COLOR,MALE,FEMALE,REGION,POPULATION,TEMPERATURE,TANK,ROOM,CLUTCH_ORDER,DAYS_IN_TREATMENT,DATE_EGGS_LAST_CHECKED,SAMPLE,YOLK_SAC,IMAGE,NOTES
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,18,NA,9965,disfigured
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,19,NA,9965,disfigured
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,20,NA,9965,disfigured
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,21,NA,9965,disfigured
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,22,NA,9965,disfigured
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,23,0.012,9965,
40,16/12/2022,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,1,0.009,7090,
40,16/12/2023,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,2,0.011,7090,
40,16/12/2024,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,3,0.016,7090,
40,16/12/2025,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,4,0.016,7090,
40,16/12/2026,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,5,0.009,7090,
40,16/12/2027,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,6,0.016,7090,
40,16/12/2028,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,7,0.009,7090,
40,16/12/2029,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,8,0.016,7090,
40,16/12/2030,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,9,0.014,7090,
40,16/12/2031,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,10,0.013,7090,
40,16/12/2032,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,11,0.008,7090,
40,16/12/2033,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,12,0.008,7090,
40,16/12/2034,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,13,0.010,7090,
40,16/12/2035,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,14,0.011,7090,
40,16/12/2036,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,15,0.009,7090,
40,16/12/2037,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,16,0.009,7090,
40,16/12/2038,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,17,0.014,7090,
40,16/12/2039,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,18,0.012,7090,
40,16/12/2040,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,19,0.009,7090,
40,16/12/2041,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,20,0.010,7090,
40,16/12/2042,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,21,0.011,7090,
40,16/12/2043,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,22,0.010,7090,
40,16/12/2044,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,23,0.012,7090,
40,16/12/2045,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,24,0.012,7090,
40,16/12/2046,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,25,0.010,7090,
40,16/12/2047,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,26,0.011,7090,
40,16/12/2048,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,27,0.009,7090,
40,16/12/2049,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,28,0.011,7090,
40,16/12/2050,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,29,0.012,7090,
40,16/12/2051,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,30,0.010,7090,
40,16/12/2052,mostly colored,CARL237,CARL219,core,Arlington Reef,27,247,3,1,29,NA,31,0.010,7090,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,1,0.016,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,2,0.012,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,3,0.010,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,4,0.009,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,5,0.010,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,6,0.010,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,7,0.010,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,8,0.012,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,9,0.013,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,10,0.009,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,11,0.009,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,12,0.012,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,13,NA,9985,cannot see
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,14,0.014,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,15,0.012,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,16,0.011,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,17,0.011,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,18,0.011,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,19,0.009,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,20,0.010,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,21,0.011,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,22,0.010,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,23,0.008,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,24,0.011,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,25,0.008,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,26,0.010,9985,
47,20/12/2022,white,CARL344,CARL370,core,Arlington Reef,30,112,3,1,32,19/12/2022,27,0.012,9985,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,1,0.008,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,2,0.012,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,3,0.012,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,4,0.011,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,5,0.013,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,6,0.012,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,7,0.013,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,8,0.012,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,9,0.014,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,10,0.014,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,11,0.013,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,12,0.014,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,13,0.015,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,14,0.014,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,15,0.015,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,16,0.014,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,17,0.010,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,18,0.011,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,19,0.013,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,20,0.014,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,21,0.014,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,22,0.015,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,23,0.012,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,24,0.016,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,25,0.015,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,26,0.015,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,27,0.015,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,28,0.013,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,29,0.013,9989,
48,21/12/2022,white,CSUD013,CSUD017,core,Sudbury Reef,27,271,3,2,33,20/12/2022,30,0.016,9989,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,1,0.013,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,2,0.010,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,3,0.013,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,4,0.013,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,5,0.014,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,6,0.011,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,7,0.014,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,8,0.013,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,9,0.013,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,10,0.014,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,11,0.014,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,12,0.011,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,13,0.014,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,14,0.014,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,15,0.015,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,16,0.014,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,17,0.014,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,18,0.015,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,19,0.012,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,20,0.015,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,21,0.014,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,22,0.017,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,23,0.014,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,24,0.014,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,25,0.014,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,26,0.013,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,27,0.015,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,28,0.014,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,29,0.018,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,30,0.014,9994,
49,22/12/2022,white,CVLA049,CVLA098,core,Vlassof Cay,28.5,137,3,3,34,21/12/2022,31,0.011,9994,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,1,0.010,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,2,0.013,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,3,0.013,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,4,0.012,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,5,0.012,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,6,0.012,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,7,0.015,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,8,0.013,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,9,0.016,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,10,0.013,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,11,0.012,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,12,0.011,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,13,0.013,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,14,0.014,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,15,0.013,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,16,0.014,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,17,0.012,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,18,0.012,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,19,0.014,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,20,0.010,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,21,0.015,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,22,0.013,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,23,0.011,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,24,0.014,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,25,0.015,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,26,0.013,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,27,NA,9996,blurry
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,28,0.017,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,29,0.013,9996,
51,24/12/2022,white,CARL218,CARL222,core,Arlington Reef,30,109,3,2,36,23/12/2022,30,0.012,9996,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,1,0.012,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,2,0.010,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,3,0.011,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,4,0.011,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,5,0.009,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,6,0.012,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,7,0.013,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,8,0.013,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,9,0.011,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,10,0.013,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,11,0.011,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,12,0.011,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,13,0.014,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,14,0.013,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,15,0.013,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,16,0.013,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,17,0.012,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,18,0.011,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,19,0.014,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,20,0.011,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,21,0.013,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,22,0.012,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,23,0.011,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,24,0.009,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,25,0.014,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,26,0.013,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,27,0.014,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,28,0.012,0004,
54,31/12/2022,white,CVLA106,CVLA091,core,Vlassof Cay,30,105,3,3,43,30/12/2022,29,0.012,0004,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,1,0.006,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,2,0.012,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,3,0.010,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,4,0.012,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,5,0.013,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,6,0.009,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,7,0.009,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,8,0.011,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,9,0.009,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,10,0.009,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,11,0.010,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,12,0.013,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,13,0.012,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,14,0.009,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,15,0.010,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,16,0.012,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,17,0.009,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,18,0.011,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,19,0.008,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,20,0.010,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,21,0.010,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,22,0.009,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,23,0.013,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,24,0.011,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,25,0.009,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,26,0.012,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,27,0.007,0740,
55,1/01/2023,white,CPRE189,CPRE202,core,Pretty Patches,30,208,3,2,44,31/12/2022,28,0.012,0740,
