CLUTCH_NUMBER,DATE_OF_HATCH,DATE_SAMPLED,MALE,FEMALE,REGION,POPULATION,TEMPERATURE,TANK,LEVEL,REPLICATE,CLUTCH_ORDER,PARENTAL_DAYS_IN_TREATMENT,AGE,SAMPLE_NO,LENGTH,MASS,NOTES
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,11,16.82,0.1157,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,12,16.36,0.1139,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,13,14.97,0.0778,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,14,12.07,0.0327,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,15,16.63,0.1085,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,16,17.77,0.1421,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,17,18.61,0.1840,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,18,21.08,0.2574,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,19,21.63,0.2888,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,20,16.40,0.1057,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,21,18.72,0.1520,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,22,23.08,0.3495,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,23,19.30,0.1850,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,24,21.24,0.2420,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,25,22.06,0.2877,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,26,20.41,0.2299,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,27,19.72,0.1993,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,1,23.88,0.4101,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,2,21.45,0.3065,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,3,19.18,0.2021,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,4,21.10,0.2826,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,5,20.88,0.2620,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,6,19.49,0.2219,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,7,22.30,0.3431,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,8,21.93,0.3271,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,9,21.26,0.2850,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,10,23.96,0.4114,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,11,21.36,0.2879,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,12,20.98,0.2650,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,13,17.54,0.1550,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,14,21.21,0.2715,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,15,16.70,0.1273,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,16,16.55,0.1288,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,17,20.19,0.2542,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,18,18.90,0.2066,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,19,19.89,0.2120,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,20,19.65,0.1992,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,21,15.67,0.1023,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,22,14.61,0.0821,
38,27/12/2022,27/02/2023,CPRE372,CPRE209,core,Pretty Patches,27,316,3,3,1,29,2-month,23,13.20,0.0602,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,1,23.57,0.3867,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,2,21.83,0.3390,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,3,22.82,0.3864,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,4,21.77,0.3648,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,5,22.21,0.3303,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,6,20.77,0.3122,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,7,20.42,0.2703,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,8,20.18,0.2566,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,9,22.66,0.3992,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,10,23.33,0.4700,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,11,21.27,0.3014,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,12,20.23,0.2997,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,13,20.32,0.2785,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,14,23.73,0.4657,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,15,22.38,0.4082,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,16,21.80,0.3477,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,17,21.06,0.3161,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,18,20.57,0.3174,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,19,19.44,0.2290,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,20,24.01,0.4893,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,21,21.05,0.3271,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,22,19.68,0.2583,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,23,20.26,0.2929,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,24,21.69,0.3429,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,25,18.14,0.1991,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,26,22.00,0.3533,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,27,18.99,0.2209,
49,31/12/2022,1/03/2023,CVLA049,CVLA098,core,Vlassof Cay,28.5,205,2,1,3,34,2-month,28,17.52,0.1794,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,1,23.15,0.3870,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,2,20.39,0.2354,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,3,22.66,0.3314,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,4,22.00,0.3150,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,5,21.57,0.2766,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,6,20.68,0.2649,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,7,23.75,0.4004,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,8,22.92,0.3567,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,9,21.65,0.2861,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,10,20.44,0.2279,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,11,21.58,0.3100,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,12,20.15,0.2249,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,13,22.06,0.3085,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,14,23.34,0.3576,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,15,22.41,0.3217,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,16,21.33,0.2627,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,17,12.89,0.0599,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,18,22.35,0.2977,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,19,22.10,0.2928,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,20,21.63,0.2783,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,21,20.58,0.2454,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,22,19.95,0.2085,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,23,18.25,0.1688,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,24,20.76,0.2494,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,25,18.75,0.1930,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,26,18.56,0.1637,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,27,18.82,0.1981,
48,1/01/2023,2/03/2023,CSUD013,CSUD017,core,Sudbury Reef,27,276,2,2,2,33,2-month,28,19.84,0.2255,
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,1,21.49,0.2795,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,2,23.27,0.3491,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,3,20.22,0.2299,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,4,22.43,0.3097,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,5,24.76,0.4326,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,6,22.36,0.3178,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,7,24.29,0.3868,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,8,23.08,0.3843,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,9,20.16,0.2160,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,10,22.90,0.3147,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,11,22.42,0.2908,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,12,21.56,0.2666,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,13,22.49,0.3133,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,14,21.72,0.3096,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,15,19.87,0.2070,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,16,24.39,0.3603,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,17,21.68,0.2922,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,18,22.68,0.3127,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,19,22.87,0.3171,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,20,21.12,0.2805,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,21,21.43,0.2578,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,22,23.01,0.3541,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,23,21.64,0.2934,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,24,22.20,0.3395,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,25,19.88,0.1933,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,26,20.70,0.2753,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,27,21.45,0.2592,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,28,20.21,0.2363,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,29,19.92,0.2219,measured protruding upper lip to back end
51,2/01/2023,3/03/2023,CARL218,CARL222,core,Arlington Reef,30,200,2,2,2,36,2-month,30,19.52,0.1904,measured protruding upper lip to back end
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,1,26.14,0.6217,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,2,20.26,0.2706,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,3,20.94,0.3154,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,4,17.50,0.1642,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,5,19.87,0.2686,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,6,22.72,0.3857,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,7,18.83,0.2182,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,8,19.41,0.2276,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,9,19.76,0.2474,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,10,21.75,0.3680,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,11,17.19,0.1575,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,12,20.72,0.5841,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,13,18.94,0.2313,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,14,21.25,0.2987,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,15,18.00,0.1916,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,16,15.51,0.1086,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,17,20.72,0.2892,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,18,17.54,0.1780,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,19,20.96,0.3079,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,20,17.66,0.1628,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,21,19.41,0.2167,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,22,17.63,0.1699,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,23,17.34,0.1563,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,24,18.38,0.1902,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,25,14.69,0.0940,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,26,21.77,0.3455,switched food late
54,9/01/2023,10/03/2023,CVLA106,CVLA098,core,Vlassof Cay,30,300,3,2,3,43,2-month,27,14.72,0.0730,switched food late
55,11/01/2023,12/03/2023,CPRE189,CPRE202,core,Pretty Patches,30,170,1,1,2,44,2-month,1,23.88,0.4453,
55,11/01/2023,12/03/2023,CPRE189,CPRE202,core,Pretty Patches,30,170,1,1,2,44,2-month,2,22.50,0.3905,
55,11/01/2023,12/03/2023,CPRE189,CPRE202,core,Pretty Patches,30,170,1,1,2,44,2-month,3,22.26,0.3600,
55,11/01/2023,12/03/2023,CPRE189,CPRE202,core,Pretty Patches,30,170,1,1,2,44,2-month,4,22.30,0.3784,
55,11/01/2023,12/03/2023,CPRE189,CPRE202,core,Pretty Patches,30,170,1,1,2,44,2-month,5,22.27,0.3971,
55,11/01/2023,12/03/2023,CPRE189,CPRE202,core,Pretty Patches,30,170,1,1,2,44,2-month,6,21.64,0.3362,
55,11/01/2023,12/03/2023,CPRE189,CPRE202,core,Pretty Patches,30,170,1,1,2,44,2-month,7,20.21,0.2908,
